,,,,,,,TOTAL KASUS  GHPR PERIODE JANUARI-JUNI PERDESA TAHUN 2026,,,,,,,,,,
NO ,DESA,JANUARI L,JANUARI P,FEBRUARI L,FEBRUARI P,MARET L,MARET P,APRIL L,APRIL P,MEI L,MEI P,JUNI L,JUNI P,JUMLAH L,JUMLAH P,TOTAL,Jenis Hewan
1,Labuan Bajo,2,2,2,2,4,1,6,1,,2,,1,14,9,23,Anjing
2,Gotontalo,5,4,3,3,7,,6,3,7,6,4,5,32,21,53,Anjing
3,Golo Bilas,3,2,1,3,4,,4,2,3,2,5,3,20,12,32,Anjing
4,Nggorang,,,1,,,,,,1,,,,2,0,2,Anjing
5,Watu Nggelek,,,,,,,,,,,1,,1,0,1,Anjing
6,Papa Garang,,,,,,,,,,,,,0,0,0,Anjing
7,Pasir Putih,,,,,,,,,,,,,0,0,0,Anjing
8,Pasir Panjang,,,,,,,,,,,,,,,,
9,Seraya Kecil,,,,,,,,,,,,,,,,
10,Seraya Marannu,,,,,,,,,,,,,0,0,0,
,JUMLAH,10,8,7,8,15,1,16,6,11,10,10,9,69,42,111,Anjing
,,,,,,,,,,,,,,,,,
